source,series,frequency_hz,sine_v_rms,input_mode,coupling,sensitivity_a,time_constant_s,settling_s,n,current_rms_a,current_sd_a,g_magnitude_s,g_sd_s,g_real_s,g_imag_s,phase_deg,pair_difference_fraction
map_20260924T100133Z.jsonl,map,0.2,0.02,current_1e6,DC,5.0000000000000004e-08,0.30000000000000004,15.0,3,1.9748899999999998e-08,1.799999999999725e-12,9.874449999999998e-07,8.999999999998625e-11,9.87535e-07,-3.031666666666666e-11,-0.0017589422636759833,9.114478816613156e-05
map_20260924T100133Z.jsonl,map,0.2,0.05,current_1e6,DC,1.0000000000000001e-07,0.30000000000000004,15.0,3,4.9339699999999994e-08,2.0784609690804247e-12,9.867939999999999e-07,4.156921938160849e-11,9.868666666666664e-07,0.0,0.0,7.363914521833476e-05
map_20260924T100133Z.jsonl,map,0.2,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,15.0,3,9.8597e-08,0.0,9.8597e-07,0.0,9.860419999999999e-07,0.0,0.0,7.302453421495868e-05
map_20260924T100133Z.jsonl,map,0.2,0.2,current_1e6,DC,5e-07,0.30000000000000004,15.0,3,1.9702433333333335e-07,1.6743157806487567e-11,9.851216666666667e-07,8.371578903243782e-11,9.852666666666665e-07,0.0,0.0,0.0001471899410054931
map_20260924T100133Z.jsonl,map,0.2,0.5,current_1e6,DC,1e-06,0.30000000000000004,15.0,3,4.92324e-07,0.0,9.84648e-07,0.0,9.847639999999997e-07,0.0,0.0,0.00011780859759001584
map_20260924T100133Z.jsonl,map,1.0,0.004,current_1e6,DC,1e-08,0.30000000000000004,4.500000000000001,3,3.957543333333333e-09,1.894316059513974e-12,9.893858333333333e-07,4.735790148784935e-10,9.894991666666666e-07,-6.063334166666666e-10,-0.03510901532299736,0.00011473694118750949
map_20260924T100133Z.jsonl,map,1.0,0.01,current_1e6,DC,2e-08,0.30000000000000004,4.500000000000001,3,9.88172e-09,9.099999999997415e-13,9.88172e-07,9.099999999997415e-11,9.88263e-07,3.031673333333333e-11,0.0017576504109520408,9.20897020052129e-05
map_20260924T100133Z.jsonl,map,1.0,0.02,current_1e6,DC,5.0000000000000004e-08,0.30000000000000004,4.500000000000001,3,1.9751300000000002e-08,2.078460969082335e-12,9.875650000000002e-07,1.0392304845411676e-10,9.87655e-07,-6.063333333333332e-11,-0.0035174571013617964,9.113512647417129e-05
map_20260924T100133Z.jsonl,map,1.0,0.05,current_1e6,DC,1.0000000000000001e-07,0.30000000000000004,4.500000000000001,3,4.9339699999999994e-08,2.0784609690804247e-12,9.867939999999999e-07,4.156921938160849e-11,9.868666666666664e-07,-2.42534e-11,-0.0014081106450342703,7.363944723464288e-05
map_20260924T100133Z.jsonl,map,1.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,4.500000000000001,3,9.8597e-08,0.0,9.8597e-07,0.0,9.860419999999999e-07,0.0,0.0,7.302453421495868e-05
map_20260924T100133Z.jsonl,map,1.0,0.2,current_1e6,DC,5e-07,0.30000000000000004,4.500000000000001,3,1.97063e-07,0.0,9.85315e-07,0.0,9.854599999999999e-07,0.0,0.0,0.0001471610601686081
map_20260924T100133Z.jsonl,map,1.0,0.5,current_1e6,DC,1e-06,0.30000000000000004,4.500000000000001,3,4.9244e-07,0.0,9.8488e-07,0.0,9.849979999999998e-07,-3.88054e-11,-0.002257248888999445,0.00011981232677779761
map_20260924T100133Z.jsonl,map,13.033,0.004,current_1e6,DC,1e-08,0.1,1.5,3,3.96012e-09,9.463614531454846e-13,9.900299999999998e-07,2.3659036328637116e-10,9.901433333333333e-07,6.82125e-10,0.03947193916442366,0.00011471197490719578
map_20260924T100133Z.jsonl,map,13.033,0.01,current_1e6,DC,2e-08,0.1,1.5,3,9.886259999999998e-09,1.576166234887708e-12,9.886259999999998e-07,1.576166234887708e-10,9.887169999999998e-07,1.8190006666666664e-10,0.010541040556157346,9.206386703465321e-05
map_20260924T100133Z.jsonl,map,13.033,0.02,current_1e6,DC,5.0000000000000004e-08,0.1,1.5,3,1.975493333333333e-08,1.0969655114603866e-12,9.877466666666666e-07,5.484827557301933e-11,9.8784e-07,0.0,0.0,9.449116507609438e-05
map_20260924T100133Z.jsonl,map,13.033,0.05,current_1e6,DC,1.0000000000000001e-07,0.1,1.5,3,4.93506e-08,2.0784609690804247e-12,9.87012e-07,4.156921938160849e-11,9.870846666666665e-07,-2.42534e-11,-0.0014077996604441331,7.362318252316326e-05
map_20260924T100133Z.jsonl,map,13.033,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,9.85994e-08,4.156921938160849e-12,9.85994e-07,4.156921938160849e-11,9.860663333333332e-07,-9.701340000000001e-11,-0.005637002471720294,7.336566513451967e-05
map_20260924T100133Z.jsonl,map,13.033,0.2,current_1e6,DC,5e-07,0.1,1.5,3,1.97063e-07,0.0,9.85315e-07,0.0,9.854599999999999e-07,-1.455205e-10,-0.00846072942791209,0.0001471719646311438
map_20260924T100133Z.jsonl,map,13.033,0.5,current_1e6,DC,1e-06,0.1,1.5,3,4.9244e-07,0.0,9.8488e-07,0.0,9.849979999999998e-07,-1.1641619999999997e-10,-0.006771746638970918,0.00011981853583491502
map_20260924T100133Z.jsonl,map,73.0,0.004,current_1e6,DC,1e-08,0.1,1.5,3,3.9634566666666666e-09,2.655811238268795e-13,9.908641666666665e-07,6.639528095671986e-11,9.909774999999998e-07,-2.273755e-10,-0.013146268493544831,0.00011440459985193338
map_20260924T100133Z.jsonl,map,73.0,0.01,current_1e6,DC,2e-08,0.1,1.5,3,9.88899e-09,0.0,9.88899e-07,0.0,9.889900000000001e-07,-4.850666666666667e-10,-0.02810166993997116,9.214182087124246e-05
map_20260924T100133Z.jsonl,map,73.0,0.02,current_1e6,DC,5.0000000000000004e-08,0.1,1.5,3,1.9758e-08,0.0,9.879e-07,0.0,9.879899999999998e-07,-5.457e-10,-0.03164637668477885,9.12548883396277e-05
map_20260924T100133Z.jsonl,map,73.0,0.05,current_1e6,DC,1.0000000000000001e-07,0.1,1.5,3,4.9353e-08,0.0,9.8706e-07,0.0,9.871339999999997e-07,-6.5484e-10,-0.03800858115782482,7.519016292095253e-05
map_20260924T100133Z.jsonl,map,73.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,9.8597e-08,0.0,9.8597e-07,0.0,9.860419999999999e-07,-6.54841e-10,-0.03805073215563385,7.324507177619564e-05
map_20260924T100133Z.jsonl,map,73.0,0.2,current_1e6,DC,5e-07,0.1,1.5,3,1.97063e-07,0.0,9.85315e-07,0.0,9.854599999999999e-07,-5.820799999999999e-10,-0.0338427977395407,0.0001473355303554512
map_20260924T100133Z.jsonl,map,73.0,0.5,current_1e6,DC,1e-06,0.1,1.5,3,4.9244e-07,0.0,9.8488e-07,0.0,9.849979999999998e-07,-5.820799999999999e-10,-0.03385867124275233,0.00011998617976108397
